ᴿ	ᴿ	R	U+1D3F (MODIFIER LETTER CAPITAL R) preserved SUPERSCRIPT
ᵀ	ᵀ	T	U+1D40 (MODIFIER LETTER CAPITAL T) preserved SUPERSCRIPT
ᵁ	ᵁ	U	U+1D41 (MODIFIER LETTER CAPITAL U) preserved SUPERSCRIPT
ᵂ	ᵂ	W	U+1D42 (MODIFIER LETTER CAPITAL W) preserved SUPERSCRIPT
ᵃ	ᵃ	a	U+1D43 (MODIFIER LETTER SMALL A) preserved SUPERSCRIPT
ᵄ	ᵄ	ɐ	U+1D44 (MODIFIER LETTER SMALL TURNED A) preserved SUPERSCRIPT
ᵅ	ᵅ	ɑ	U+1D45 (MODIFIER LETTER SMALL ALPHA) preserved SUPERSCRIPT
ᵆ	ᵆ	ᴂ	U+1D46 (MODIFIER LETTER SMALL TURNED AE) preserved SUPERSCRIPT
ᵇ	ᵇ	b	U+1D47 (MODIFIER LETTER SMALL B) preserved SUPERSCRIPT
ᵈ	ᵈ	d	U+1D48 (MODIFIER LETTER SMALL D) preserved SUPERSCRIPT
ᵉ	ᵉ	e	U+1D49 (MODIFIER LETTER SMALL E) preserved SUPERSCRIPT
ᵊ	ᵊ	ə	U+1D4A (MODIFIER LETTER SMALL SCHWA) preserved SUPERSCRIPT
ᵋ	ᵋ	ɛ	U+1D4B (MODIFIER LETTER SMALL OPEN E) preserved SUPERSCRIPT
ᵌ	ᵌ	ɜ	U+1D4C (MODIFIER LETTER SMALL TURNED OPEN E) preserved SUPERSCRIPT
ᵍ	ᵍ	g	U+1D4D (MODIFIER LETTER SMALL G) preserved SUPERSCRIPT
ᵏ	ᵏ	k	U+1D4F (MODIFIER LETTER SMALL K) preserved SUPERSCRIPT
ᵐ	ᵐ	m	U+1D50 (MODIFIER LETTER SMALL M) preserved SUPERSCRIPT
ᵑ	ᵑ	ŋ	U+1D51 (MODIFIER LETTER SMALL ENG) preserved SUPERSCRIPT
ᵒ	ᵒ	o	U+1D52 (MODIFIER LETTER SMALL O) preserved SUPERSCRIPT
ᵓ	ᵓ	ɔ	U+1D53 (MODIFIER LETTER SMALL OPEN O) preserved SUPERSCRIPT
ᵔ	ᵔ	ᴖ	U+1D54 (MODIFIER LETTER SMALL TOP HALF O) preserved SUPERSCRIPT
ᵕ	ᵕ	ᴗ	U+1D55 (MODIFIER LETTER SMALL BOTTOM HALF O) preserved SUPERSCRIPT
ᵖ	ᵖ	p	U+1D56 (MODIFIER LETTER SMALL P) preserved SUPERSCRIPT
ᵗ	ᵗ	t	U+1D57 (MODIFIER LETTER SMALL T) preserved SUPERSCRIPT
ᵘ	ᵘ	u	U+1D58 (MODIFIER LETTER SMALL U) preserved SUPERSCRIPT
ᵙ	ᵙ	ᴝ	U+1D59 (MODIFIER LETTER SMALL SIDEWAYS U) preserved SUPERSCRIPT
ᵚ	ᵚ	ɯ	U+1D5A (MODIFIER LETTER SMALL TURNED M) preserved SUPERSCRIPT
ᵛ	ᵛ	v	U+1D5B (MODIFIER LETTER SMALL V) preserved SUPERSCRIPT
ᵜ	ᵜ	ᴥ	U+1D5C (MODIFIER LETTER SMALL AIN) preserved SUPERSCRIPT
ᵝ	ᵝ	β	U+1D5D (MODIFIER LETTER SMALL BETA) preserved SUPERSCRIPT
ᵞ	ᵞ	γ	U+1D5E (MODIFIER LETTER SMALL GREEK GAMMA) preserved SUPERSCRIPT
ᵟ	ᵟ	δ	U+1D5F (MODIFIER LETTER SMALL DELTA) preserved SUPERSCRIPT
ᵠ	ᵠ	φ	U+1D60 (MODIFIER LETTER SMALL GREEK PHI) preserved SUPERSCRIPT
ᵡ	ᵡ	χ	U+1D61 (MODIFIER LETTER SMALL CHI) preserved SUPERSCRIPT
ᵢ	ᵢ	i	U+1D62 (LATIN SUBSCRIPT SMALL LETTER I) preserved SUBSCRIPT
ᵣ	ᵣ	r	U+1D63 (LATIN SUBSCRIPT SMALL LETTER R) preserved SUBSCRIPT
