ꭞ	ꭞ	ɫ	U+AB5E (MODIFIER LETTER SMALL L WITH MIDDLE TILDE) preserved SUPERSCRIPT
ꭟ	ꭟ	ꭒ	U+AB5F (MODIFIER LETTER SMALL U WITH LEFT HOOK) preserved SUPERSCRIPT
﹉	﹉	 ̅	U+FE49 (DASHED OVERLINE) preserved DIACRITIC
﹊	﹊	 ̅	U+FE4A (CENTRELINE OVERLINE) preserved DIACRITIC
﹋	﹋	 ̅	U+FE4B (WAVY OVERLINE) preserved DIACRITIC
﹌	﹌	 ̅	U+FE4C (DOUBLE WAVY OVERLINE) preserved DIACRITIC
﹍	﹍	_	U+FE4D (DASHED LOW LINE) preserved DIACRITIC
﹎	﹎	_	U+FE4E (CENTRELINE LOW LINE) preserved DIACRITIC
﹏	﹏	_	U+FE4F (WAVY LOW LINE) preserved DIACRITIC
🅪	🅪	MC	U+1F16A (RAISED MC SIGN) preserved SUPERSCRIPT
🅫	🅫	MD	U+1F16B (RAISED MD SIGN) preserved SUPERSCRIPT
