MapFromString	MapToString	Comment # File DigitMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Oct 18, 2020, 17:54:45
꘦	6	U+A626 (VAI DIGIT SIX) -> U+0036 (DIGIT SIX)
꘧	7	U+A627 (VAI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
꘨	8	U+A628 (VAI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
꘩	9	U+A629 (VAI DIGIT NINE) -> U+0039 (DIGIT NINE)
꣐	0	U+A8D0 (SAURASHTRA DIGIT ZERO) -> U+0030 (DIGIT ZERO)
꣑	1	U+A8D1 (SAURASHTRA DIGIT ONE) -> U+0031 (DIGIT ONE)
꣒	2	U+A8D2 (SAURASHTRA DIGIT TWO) -> U+0032 (DIGIT TWO)
꣓	3	U+A8D3 (SAURASHTRA DIGIT THREE) -> U+0033 (DIGIT THREE)
꣔	4	U+A8D4 (SAURASHTRA DIGIT FOUR) -> U+0034 (DIGIT FOUR)
꣕	5	U+A8D5 (SAURASHTRA DIGIT FIVE) -> U+0035 (DIGIT FIVE)
꣖	6	U+A8D6 (SAURASHTRA DIGIT SIX) -> U+0036 (DIGIT SIX)
꣗	7	U+A8D7 (SAURASHTRA DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
꣘	8	U+A8D8 (SAURASHTRA DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
꣙	9	U+A8D9 (SAURASHTRA DIGIT NINE) -> U+0039 (DIGIT NINE)
꤀	0	U+A900 (KAYAH LI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
꤁	1	U+A901 (KAYAH LI DIGIT ONE) -> U+0031 (DIGIT ONE)
꤂	2	U+A902 (KAYAH LI DIGIT TWO) -> U+0032 (DIGIT TWO)
꤃	3	U+A903 (KAYAH LI DIGIT THREE) -> U+0033 (DIGIT THREE)
꤄	4	U+A904 (KAYAH LI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
꤅	5	U+A905 (KAYAH LI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
꤆	6	U+A906 (KAYAH LI DIGIT SIX) -> U+0036 (DIGIT SIX)
꤇	7	U+A907 (KAYAH LI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
꤈	8	U+A908 (KAYAH LI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
꤉	9	U+A909 (KAYAH LI DIGIT NINE) -> U+0039 (DIGIT NINE)
꧐	0	U+A9D0 (JAVANESE DIGIT ZERO) -> U+0030 (DIGIT ZERO)
꧑	1	U+A9D1 (JAVANESE DIGIT ONE) -> U+0031 (DIGIT ONE)
꧒	2	U+A9D2 (JAVANESE DIGIT TWO) -> U+0032 (DIGIT TWO)
꧓	3	U+A9D3 (JAVANESE DIGIT THREE) -> U+0033 (DIGIT THREE)
꧔	4	U+A9D4 (JAVANESE DIGIT FOUR) -> U+0034 (DIGIT FOUR)
꧕	5	U+A9D5 (JAVANESE DIGIT FIVE) -> U+0035 (DIGIT FIVE)
꧖	6	U+A9D6 (JAVANESE DIGIT SIX) -> U+0036 (DIGIT SIX)
꧗	7	U+A9D7 (JAVANESE DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
꧘	8	U+A9D8 (JAVANESE DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
꧙	9	U+A9D9 (JAVANESE DIGIT NINE) -> U+0039 (DIGIT NINE)
꧰	0	U+A9F0 (MYANMAR TAI LAING DIGIT ZERO) -> U+0030 (DIGIT ZERO)
꧱	1	U+A9F1 (MYANMAR TAI LAING DIGIT ONE) -> U+0031 (DIGIT ONE)
꧲	2	U+A9F2 (MYANMAR TAI LAING DIGIT TWO) -> U+0032 (DIGIT TWO)
꧳	3	U+A9F3 (MYANMAR TAI LAING DIGIT THREE) -> U+0033 (DIGIT THREE)
꧴	4	U+A9F4 (MYANMAR TAI LAING DIGIT FOUR) -> U+0034 (DIGIT FOUR)
꧵	5	U+A9F5 (MYANMAR TAI LAING DIGIT FIVE) -> U+0035 (DIGIT FIVE)
꧶	6	U+A9F6 (MYANMAR TAI LAING DIGIT SIX) -> U+0036 (DIGIT SIX)
꧷	7	U+A9F7 (MYANMAR TAI LAING DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
꧸	8	U+A9F8 (MYANMAR TAI LAING DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
꧹	9	U+A9F9 (MYANMAR TAI LAING DIGIT NINE) -> U+0039 (DIGIT NINE)
꩐	0	U+AA50 (CHAM DIGIT ZERO) -> U+0030 (DIGIT ZERO)
꩑	1	U+AA51 (CHAM DIGIT ONE) -> U+0031 (DIGIT ONE)
꩒	2	U+AA52 (CHAM DIGIT TWO) -> U+0032 (DIGIT TWO)
꩓	3	U+AA53 (CHAM DIGIT THREE) -> U+0033 (DIGIT THREE)
꩔	4	U+AA54 (CHAM DIGIT FOUR) -> U+0034 (DIGIT FOUR)
꩕	5	U+AA55 (CHAM DIGIT FIVE) -> U+0035 (DIGIT FIVE)
꩖	6	U+AA56 (CHAM DIGIT SIX) -> U+0036 (DIGIT SIX)
꩗	7	U+AA57 (CHAM DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
꩘	8	U+AA58 (CHAM DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
꩙	9	U+AA59 (CHAM DIGIT NINE) -> U+0039 (DIGIT NINE)
꯰	0	U+ABF0 (MEETEI MAYEK DIGIT ZERO) -> U+0030 (DIGIT ZERO)
꯱	1	U+ABF1 (MEETEI MAYEK DIGIT ONE) -> U+0031 (DIGIT ONE)
꯲	2	U+ABF2 (MEETEI MAYEK DIGIT TWO) -> U+0032 (DIGIT TWO)
꯳	3	U+ABF3 (MEETEI MAYEK DIGIT THREE) -> U+0033 (DIGIT THREE)
꯴	4	U+ABF4 (MEETEI MAYEK DIGIT FOUR) -> U+0034 (DIGIT FOUR)
꯵	5	U+ABF5 (MEETEI MAYEK DIGIT FIVE) -> U+0035 (DIGIT FIVE)
꯶	6	U+ABF6 (MEETEI MAYEK DIGIT SIX) -> U+0036 (DIGIT SIX)
꯷	7	U+ABF7 (MEETEI MAYEK DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
꯸	8	U+ABF8 (MEETEI MAYEK DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
꯹	9	U+ABF9 (MEETEI MAYEK DIGIT NINE) -> U+0039 (DIGIT NINE)
𐒠	0	U+104A0 (OSMANYA DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𐒡	1	U+104A1 (OSMANYA DIGIT ONE) -> U+0031 (DIGIT ONE)
𐒢	2	U+104A2 (OSMANYA DIGIT TWO) -> U+0032 (DIGIT TWO)
𐒣	3	U+104A3 (OSMANYA DIGIT THREE) -> U+0033 (DIGIT THREE)
𐒤	4	U+104A4 (OSMANYA DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𐒥	5	U+104A5 (OSMANYA DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𐒦	6	U+104A6 (OSMANYA DIGIT SIX) -> U+0036 (DIGIT SIX)
𐒧	7	U+104A7 (OSMANYA DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𐒨	8	U+104A8 (OSMANYA DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𐒩	9	U+104A9 (OSMANYA DIGIT NINE) -> U+0039 (DIGIT NINE)
𐴰	0	U+10D30 (HANIFI ROHINGYA DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𐴱	1	U+10D31 (HANIFI ROHINGYA DIGIT ONE) -> U+0031 (DIGIT ONE)
𐴲	2	U+10D32 (HANIFI ROHINGYA DIGIT TWO) -> U+0032 (DIGIT TWO)
𐴳	3	U+10D33 (HANIFI ROHINGYA DIGIT THREE) -> U+0033 (DIGIT THREE)
𐴴	4	U+10D34 (HANIFI ROHINGYA DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𐴵	5	U+10D35 (HANIFI ROHINGYA DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𐴶	6	U+10D36 (HANIFI ROHINGYA DIGIT SIX) -> U+0036 (DIGIT SIX)
𐴷	7	U+10D37 (HANIFI ROHINGYA DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𐴸	8	U+10D38 (HANIFI ROHINGYA DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𐴹	9	U+10D39 (HANIFI ROHINGYA DIGIT NINE) -> U+0039 (DIGIT NINE)
𑁦	0	U+11066 (BRAHMI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑁧	1	U+11067 (BRAHMI DIGIT ONE) -> U+0031 (DIGIT ONE)
𑁨	2	U+11068 (BRAHMI DIGIT TWO) -> U+0032 (DIGIT TWO)
𑁩	3	U+11069 (BRAHMI DIGIT THREE) -> U+0033 (DIGIT THREE)
𑁪	4	U+1106A (BRAHMI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑁫	5	U+1106B (BRAHMI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑁬	6	U+1106C (BRAHMI DIGIT SIX) -> U+0036 (DIGIT SIX)
𑁭	7	U+1106D (BRAHMI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑁮	8	U+1106E (BRAHMI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑁯	9	U+1106F (BRAHMI DIGIT NINE) -> U+0039 (DIGIT NINE)
𑃰	0	U+110F0 (SORA SOMPENG DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑃱	1	U+110F1 (SORA SOMPENG DIGIT ONE) -> U+0031 (DIGIT ONE)
𑃲	2	U+110F2 (SORA SOMPENG DIGIT TWO) -> U+0032 (DIGIT TWO)
𑃳	3	U+110F3 (SORA SOMPENG DIGIT THREE) -> U+0033 (DIGIT THREE)
𑃴	4	U+110F4 (SORA SOMPENG DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑃵	5	U+110F5 (SORA SOMPENG DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑃶	6	U+110F6 (SORA SOMPENG DIGIT SIX) -> U+0036 (DIGIT SIX)
𑃷	7	U+110F7 (SORA SOMPENG DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑃸	8	U+110F8 (SORA SOMPENG DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑃹	9	U+110F9 (SORA SOMPENG DIGIT NINE) -> U+0039 (DIGIT NINE)
𑄶	0	U+11136 (CHAKMA DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑄷	1	U+11137 (CHAKMA DIGIT ONE) -> U+0031 (DIGIT ONE)
𑄸	2	U+11138 (CHAKMA DIGIT TWO) -> U+0032 (DIGIT TWO)
𑄹	3	U+11139 (CHAKMA DIGIT THREE) -> U+0033 (DIGIT THREE)
𑄺	4	U+1113A (CHAKMA DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑄻	5	U+1113B (CHAKMA DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑄼	6	U+1113C (CHAKMA DIGIT SIX) -> U+0036 (DIGIT SIX)
𑄽	7	U+1113D (CHAKMA DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑄾	8	U+1113E (CHAKMA DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑄿	9	U+1113F (CHAKMA DIGIT NINE) -> U+0039 (DIGIT NINE)
𑇐	0	U+111D0 (SHARADA DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑇑	1	U+111D1 (SHARADA DIGIT ONE) -> U+0031 (DIGIT ONE)
𑇒	2	U+111D2 (SHARADA DIGIT TWO) -> U+0032 (DIGIT TWO)
𑇓	3	U+111D3 (SHARADA DIGIT THREE) -> U+0033 (DIGIT THREE)
𑇔	4	U+111D4 (SHARADA DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑇕	5	U+111D5 (SHARADA DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑇖	6	U+111D6 (SHARADA DIGIT SIX) -> U+0036 (DIGIT SIX)
𑇗	7	U+111D7 (SHARADA DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑇘	8	U+111D8 (SHARADA DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑇙	9	U+111D9 (SHARADA DIGIT NINE) -> U+0039 (DIGIT NINE)
𑋰	0	U+112F0 (KHUDAWADI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑋱	1	U+112F1 (KHUDAWADI DIGIT ONE) -> U+0031 (DIGIT ONE)
𑋲	2	U+112F2 (KHUDAWADI DIGIT TWO) -> U+0032 (DIGIT TWO)
𑋳	3	U+112F3 (KHUDAWADI DIGIT THREE) -> U+0033 (DIGIT THREE)
𑋴	4	U+112F4 (KHUDAWADI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑋵	5	U+112F5 (KHUDAWADI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑋶	6	U+112F6 (KHUDAWADI DIGIT SIX) -> U+0036 (DIGIT SIX)
𑋷	7	U+112F7 (KHUDAWADI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑋸	8	U+112F8 (KHUDAWADI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑋹	9	U+112F9 (KHUDAWADI DIGIT NINE) -> U+0039 (DIGIT NINE)
𑑐	0	U+11450 (NEWA DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑑑	1	U+11451 (NEWA DIGIT ONE) -> U+0031 (DIGIT ONE)
𑑒	2	U+11452 (NEWA DIGIT TWO) -> U+0032 (DIGIT TWO)
𑑓	3	U+11453 (NEWA DIGIT THREE) -> U+0033 (DIGIT THREE)
𑑔	4	U+11454 (NEWA DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑑕	5	U+11455 (NEWA DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑑖	6	U+11456 (NEWA DIGIT SIX) -> U+0036 (DIGIT SIX)
𑑗	7	U+11457 (NEWA DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑑘	8	U+11458 (NEWA DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑑙	9	U+11459 (NEWA DIGIT NINE) -> U+0039 (DIGIT NINE)
𑓐	0	U+114D0 (TIRHUTA DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑓑	1	U+114D1 (TIRHUTA DIGIT ONE) -> U+0031 (DIGIT ONE)
𑓒	2	U+114D2 (TIRHUTA DIGIT TWO) -> U+0032 (DIGIT TWO)
𑓓	3	U+114D3 (TIRHUTA DIGIT THREE) -> U+0033 (DIGIT THREE)
𑓔	4	U+114D4 (TIRHUTA DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑓕	5	U+114D5 (TIRHUTA DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑓖	6	U+114D6 (TIRHUTA DIGIT SIX) -> U+0036 (DIGIT SIX)
𑓗	7	U+114D7 (TIRHUTA DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑓘	8	U+114D8 (TIRHUTA DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑓙	9	U+114D9 (TIRHUTA DIGIT NINE) -> U+0039 (DIGIT NINE)
𑙐	0	U+11650 (MODI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑙑	1	U+11651 (MODI DIGIT ONE) -> U+0031 (DIGIT ONE)
𑙒	2	U+11652 (MODI DIGIT TWO) -> U+0032 (DIGIT TWO)
𑙓	3	U+11653 (MODI DIGIT THREE) -> U+0033 (DIGIT THREE)
𑙔	4	U+11654 (MODI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑙕	5	U+11655 (MODI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑙖	6	U+11656 (MODI DIGIT SIX) -> U+0036 (DIGIT SIX)
𑙗	7	U+11657 (MODI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑙘	8	U+11658 (MODI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑙙	9	U+11659 (MODI DIGIT NINE) -> U+0039 (DIGIT NINE)
𑛀	0	U+116C0 (TAKRI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑛁	1	U+116C1 (TAKRI DIGIT ONE) -> U+0031 (DIGIT ONE)
𑛂	2	U+116C2 (TAKRI DIGIT TWO) -> U+0032 (DIGIT TWO)
𑛃	3	U+116C3 (TAKRI DIGIT THREE) -> U+0033 (DIGIT THREE)
𑛄	4	U+116C4 (TAKRI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑛅	5	U+116C5 (TAKRI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑛆	6	U+116C6 (TAKRI DIGIT SIX) -> U+0036 (DIGIT SIX)
𑛇	7	U+116C7 (TAKRI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑛈	8	U+116C8 (TAKRI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑛉	9	U+116C9 (TAKRI DIGIT NINE) -> U+0039 (DIGIT NINE)
𑜰	0	U+11730 (AHOM DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑜱	1	U+11731 (AHOM DIGIT ONE) -> U+0031 (DIGIT ONE)
𑜲	2	U+11732 (AHOM DIGIT TWO) -> U+0032 (DIGIT TWO)
𑜳	3	U+11733 (AHOM DIGIT THREE) -> U+0033 (DIGIT THREE)
𑜴	4	U+11734 (AHOM DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑜵	5	U+11735 (AHOM DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑜶	6	U+11736 (AHOM DIGIT SIX) -> U+0036 (DIGIT SIX)
𑜷	7	U+11737 (AHOM DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑜸	8	U+11738 (AHOM DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑜹	9	U+11739 (AHOM DIGIT NINE) -> U+0039 (DIGIT NINE)
𑣠	0	U+118E0 (WARANG CITI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑣡	1	U+118E1 (WARANG CITI DIGIT ONE) -> U+0031 (DIGIT ONE)
𑣢	2	U+118E2 (WARANG CITI DIGIT TWO) -> U+0032 (DIGIT TWO)
𑣣	3	U+118E3 (WARANG CITI DIGIT THREE) -> U+0033 (DIGIT THREE)
𑣤	4	U+118E4 (WARANG CITI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑣥	5	U+118E5 (WARANG CITI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑣦	6	U+118E6 (WARANG CITI DIGIT SIX) -> U+0036 (DIGIT SIX)
𑣧	7	U+118E7 (WARANG CITI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑣨	8	U+118E8 (WARANG CITI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑣩	9	U+118E9 (WARANG CITI DIGIT NINE) -> U+0039 (DIGIT NINE)
𑱐	0	U+11C50 (BHAIKSUKI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑱑	1	U+11C51 (BHAIKSUKI DIGIT ONE) -> U+0031 (DIGIT ONE)
𑱒	2	U+11C52 (BHAIKSUKI DIGIT TWO) -> U+0032 (DIGIT TWO)
𑱓	3	U+11C53 (BHAIKSUKI DIGIT THREE) -> U+0033 (DIGIT THREE)
𑱔	4	U+11C54 (BHAIKSUKI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑱕	5	U+11C55 (BHAIKSUKI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑱖	6	U+11C56 (BHAIKSUKI DIGIT SIX) -> U+0036 (DIGIT SIX)
𑱗	7	U+11C57 (BHAIKSUKI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑱘	8	U+11C58 (BHAIKSUKI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑱙	9	U+11C59 (BHAIKSUKI DIGIT NINE) -> U+0039 (DIGIT NINE)
𑵐	0	U+11D50 (MASARAM GONDI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑵑	1	U+11D51 (MASARAM GONDI DIGIT ONE) -> U+0031 (DIGIT ONE)
𑵒	2	U+11D52 (MASARAM GONDI DIGIT TWO) -> U+0032 (DIGIT TWO)
𑵓	3	U+11D53 (MASARAM GONDI DIGIT THREE) -> U+0033 (DIGIT THREE)
𑵔	4	U+11D54 (MASARAM GONDI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑵕	5	U+11D55 (MASARAM GONDI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑵖	6	U+11D56 (MASARAM GONDI DIGIT SIX) -> U+0036 (DIGIT SIX)
𑵗	7	U+11D57 (MASARAM GONDI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑵘	8	U+11D58 (MASARAM GONDI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑵙	9	U+11D59 (MASARAM GONDI DIGIT NINE) -> U+0039 (DIGIT NINE)
𑶠	0	U+11DA0 (GUNJALA GONDI DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𑶡	1	U+11DA1 (GUNJALA GONDI DIGIT ONE) -> U+0031 (DIGIT ONE)
𑶢	2	U+11DA2 (GUNJALA GONDI DIGIT TWO) -> U+0032 (DIGIT TWO)
𑶣	3	U+11DA3 (GUNJALA GONDI DIGIT THREE) -> U+0033 (DIGIT THREE)
𑶤	4	U+11DA4 (GUNJALA GONDI DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𑶥	5	U+11DA5 (GUNJALA GONDI DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𑶦	6	U+11DA6 (GUNJALA GONDI DIGIT SIX) -> U+0036 (DIGIT SIX)
𑶧	7	U+11DA7 (GUNJALA GONDI DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𑶨	8	U+11DA8 (GUNJALA GONDI DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𑶩	9	U+11DA9 (GUNJALA GONDI DIGIT NINE) -> U+0039 (DIGIT NINE)
𖩠	0	U+16A60 (MRO DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𖩡	1	U+16A61 (MRO DIGIT ONE) -> U+0031 (DIGIT ONE)
𖩢	2	U+16A62 (MRO DIGIT TWO) -> U+0032 (DIGIT TWO)
𖩣	3	U+16A63 (MRO DIGIT THREE) -> U+0033 (DIGIT THREE)
𖩤	4	U+16A64 (MRO DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𖩥	5	U+16A65 (MRO DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𖩦	6	U+16A66 (MRO DIGIT SIX) -> U+0036 (DIGIT SIX)
𖩧	7	U+16A67 (MRO DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𖩨	8	U+16A68 (MRO DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𖩩	9	U+16A69 (MRO DIGIT NINE) -> U+0039 (DIGIT NINE)
𖭐	0	U+16B50 (PAHAWH HMONG DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𖭑	1	U+16B51 (PAHAWH HMONG DIGIT ONE) -> U+0031 (DIGIT ONE)
𖭒	2	U+16B52 (PAHAWH HMONG DIGIT TWO) -> U+0032 (DIGIT TWO)
𖭓	3	U+16B53 (PAHAWH HMONG DIGIT THREE) -> U+0033 (DIGIT THREE)
𖭔	4	U+16B54 (PAHAWH HMONG DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𖭕	5	U+16B55 (PAHAWH HMONG DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𖭖	6	U+16B56 (PAHAWH HMONG DIGIT SIX) -> U+0036 (DIGIT SIX)
𖭗	7	U+16B57 (PAHAWH HMONG DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𖭘	8	U+16B58 (PAHAWH HMONG DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𖭙	9	U+16B59 (PAHAWH HMONG DIGIT NINE) -> U+0039 (DIGIT NINE)
𞥐	0	U+1E950 (ADLAM DIGIT ZERO) -> U+0030 (DIGIT ZERO)
𞥑	1	U+1E951 (ADLAM DIGIT ONE) -> U+0031 (DIGIT ONE)
𞥒	2	U+1E952 (ADLAM DIGIT TWO) -> U+0032 (DIGIT TWO)
𞥓	3	U+1E953 (ADLAM DIGIT THREE) -> U+0033 (DIGIT THREE)
𞥔	4	U+1E954 (ADLAM DIGIT FOUR) -> U+0034 (DIGIT FOUR)
𞥕	5	U+1E955 (ADLAM DIGIT FIVE) -> U+0035 (DIGIT FIVE)
𞥖	6	U+1E956 (ADLAM DIGIT SIX) -> U+0036 (DIGIT SIX)
𞥗	7	U+1E957 (ADLAM DIGIT SEVEN) -> U+0037 (DIGIT SEVEN)
𞥘	8	U+1E958 (ADLAM DIGIT EIGHT) -> U+0038 (DIGIT EIGHT)
𞥙	9	U+1E959 (ADLAM DIGIT NINE) -> U+0039 (DIGIT NINE)
