Ⅻ	XII	U+216B (ROMAN NUMERAL TWELVE) -> U+0058 (LATIN CAPITAL LETTER X) U+0049 (LATIN CAPITAL LETTER I) U+0049 (LATIN CAPITAL LETTER I)
Ⅼ	L	U+216C (ROMAN NUMERAL FIFTY) -> U+004C (LATIN CAPITAL LETTER L)
Ⅽ	C	U+216D (ROMAN NUMERAL ONE HUNDRED) -> U+0043 (LATIN CAPITAL LETTER C)
Ⅾ	D	U+216E (ROMAN NUMERAL FIVE HUNDRED) -> U+0044 (LATIN CAPITAL LETTER D)
Ⅿ	M	U+216F (ROMAN NUMERAL ONE THOUSAND) -> U+004D (LATIN CAPITAL LETTER M)
ⅰ	i	U+2170 (SMALL ROMAN NUMERAL ONE) -> U+0069 (LATIN SMALL LETTER I)
ⅱ	ii	U+2171 (SMALL ROMAN NUMERAL TWO) -> U+0069 (LATIN SMALL LETTER I) U+0069 (LATIN SMALL LETTER I)
ⅲ	iii	U+2172 (SMALL ROMAN NUMERAL THREE) -> U+0069 (LATIN SMALL LETTER I) U+0069 (LATIN SMALL LETTER I) U+0069 (LATIN SMALL LETTER I)
ⅳ	iv	U+2173 (SMALL ROMAN NUMERAL FOUR) -> U+0069 (LATIN SMALL LETTER I) U+0076 (LATIN SMALL LETTER V)
ⅴ	v	U+2174 (SMALL ROMAN NUMERAL FIVE) -> U+0076 (LATIN SMALL LETTER V)
ⅵ	vi	U+2175 (SMALL ROMAN NUMERAL SIX) -> U+0076 (LATIN SMALL LETTER V) U+0069 (LATIN SMALL LETTER I)
ⅶ	vii	U+2176 (SMALL ROMAN NUMERAL SEVEN) -> U+0076 (LATIN SMALL LETTER V) U+0069 (LATIN SMALL LETTER I) U+0069 (LATIN SMALL LETTER I)
ⅷ	viii	U+2177 (SMALL ROMAN NUMERAL EIGHT) -> U+0076 (LATIN SMALL LETTER V) U+0069 (LATIN SMALL LETTER I) U+0069 (LATIN SMALL LETTER I) U+0069 (LATIN SMALL LETTER I)
ⅸ	ix	U+2178 (SMALL ROMAN NUMERAL NINE) -> U+0069 (LATIN SMALL LETTER I) U+0078 (LATIN SMALL LETTER X)
ⅹ	x	U+2179 (SMALL ROMAN NUMERAL TEN) -> U+0078 (LATIN SMALL LETTER X)
ⅺ	xi	U+217A (SMALL ROMAN NUMERAL ELEVEN) -> U+0078 (LATIN SMALL LETTER X) U+0069 (LATIN SMALL LETTER I)
ⅻ	xii	U+217B (SMALL ROMAN NUMERAL TWELVE) -> U+0078 (LATIN SMALL LETTER X) U+0069 (LATIN SMALL LETTER I) U+0069 (LATIN SMALL LETTER I)
ⅼ	l	U+217C (SMALL ROMAN NUMERAL FIFTY) -> U+006C (LATIN SMALL LETTER L)
ⅽ	c	U+217D (SMALL ROMAN NUMERAL ONE HUNDRED) -> U+0063 (LATIN SMALL LETTER C)
ⅾ	d	U+217E (SMALL ROMAN NUMERAL FIVE HUNDRED) -> U+0064 (LATIN SMALL LETTER D)
ⅿ	m	U+217F (SMALL ROMAN NUMERAL ONE THOUSAND) -> U+006D (LATIN SMALL LETTER M)
∬	∫∫	U+222C (DOUBLE INTEGRAL) -> U+222B (INTEGRAL) U+222B (INTEGRAL)
∭	∫∫∫	U+222D (TRIPLE INTEGRAL) -> U+222B (INTEGRAL) U+222B (INTEGRAL) U+222B (INTEGRAL)
∯	∮∮	U+222F (SURFACE INTEGRAL) -> U+222E (CONTOUR INTEGRAL) U+222E (CONTOUR INTEGRAL)
∰	∮∮∮	U+2230 (VOLUME INTEGRAL) -> U+222E (CONTOUR INTEGRAL) U+222E (CONTOUR INTEGRAL) U+222E (CONTOUR INTEGRAL)
〈	〈	U+2329 (LEFT-POINTING ANGLE BRACKET) -> U+3008 (LEFT ANGLE BRACKET)
〉	〉	U+232A (RIGHT-POINTING ANGLE BRACKET) -> U+3009 (RIGHT ANGLE BRACKET)
⒈	1.	U+2488 (DIGIT ONE FULL STOP) -> U+0031 (DIGIT ONE) U+002E (FULL STOP)
⒉	2.	U+2489 (DIGIT TWO FULL STOP) -> U+0032 (DIGIT TWO) U+002E (FULL STOP)
⒊	3.	U+248A (DIGIT THREE FULL STOP) -> U+0033 (DIGIT THREE) U+002E (FULL STOP)
⒋	4.	U+248B (DIGIT FOUR FULL STOP) -> U+0034 (DIGIT FOUR) U+002E (FULL STOP)
⒌	5.	U+248C (DIGIT FIVE FULL STOP) -> U+0035 (DIGIT FIVE) U+002E (FULL STOP)
⒍	6.	U+248D (DIGIT SIX FULL STOP) -> U+0036 (DIGIT SIX) U+002E (FULL STOP)
⒎	7.	U+248E (DIGIT SEVEN FULL STOP) -> U+0037 (DIGIT SEVEN) U+002E (FULL STOP)
⒏	8.	U+248F (DIGIT EIGHT FULL STOP) -> U+0038 (DIGIT EIGHT) U+002E (FULL STOP)
⒐	9.	U+2490 (DIGIT NINE FULL STOP) -> U+0039 (DIGIT NINE) U+002E (FULL STOP)
⒑	10.	U+2491 (NUMBER TEN FULL STOP) -> U+0031 (DIGIT ONE) U+0030 (DIGIT ZERO) U+002E (FULL STOP)
⒒	11.	U+2492 (NUMBER ELEVEN FULL STOP) -> U+0031 (DIGIT ONE) U+0031 (DIGIT ONE) U+002E (FULL STOP)
⒓	12.	U+2493 (NUMBER TWELVE FULL STOP) -> U+0031 (DIGIT ONE) U+0032 (DIGIT TWO) U+002E (FULL STOP)
⒔	13.	U+2494 (NUMBER THIRTEEN FULL STOP) -> U+0031 (DIGIT ONE) U+0033 (DIGIT THREE) U+002E (FULL STOP)
⒕	14.	U+2495 (NUMBER FOURTEEN FULL STOP) -> U+0031 (DIGIT ONE) U+0034 (DIGIT FOUR) U+002E (FULL STOP)
⒖	15.	U+2496 (NUMBER FIFTEEN FULL STOP) -> U+0031 (DIGIT ONE) U+0035 (DIGIT FIVE) U+002E (FULL STOP)
⒗	16.	U+2497 (NUMBER SIXTEEN FULL STOP) -> U+0031 (DIGIT ONE) U+0036 (DIGIT SIX) U+002E (FULL STOP)
⒘	17.	U+2498 (NUMBER SEVENTEEN FULL STOP) -> U+0031 (DIGIT ONE) U+0037 (DIGIT SEVEN) U+002E (FULL STOP)
⒙	18.	U+2499 (NUMBER EIGHTEEN FULL STOP) -> U+0031 (DIGIT ONE) U+0038 (DIGIT EIGHT) U+002E (FULL STOP)
⒚	19.	U+249A (NUMBER NINETEEN FULL STOP) -> U+0031 (DIGIT ONE) U+0039 (DIGIT NINE) U+002E (FULL STOP)
⒛	20.	U+249B (NUMBER TWENTY FULL STOP) -> U+0032 (DIGIT TWO) U+0030 (DIGIT ZERO) U+002E (FULL STOP)
