︕	!	U+FE15 (PRESENTATION FORM FOR VERTICAL EXCLAMATION MARK) -> U+0021 (EXCLAMATION MARK)
︖	?	U+FE16 (PRESENTATION FORM FOR VERTICAL QUESTION MARK) -> U+003F (QUESTION MARK)
︗	[	U+FE17 (PRESENTATION FORM FOR VERTICAL LEFT WHITE LENTICULAR BRACKET) -> U+005B (LEFT SQUARE BRACKET)   NFKC-ref: 〖
︘	]	U+FE18 (PRESENTATION FORM FOR VERTICAL RIGHT WHITE LENTICULAR BRAKCET) -> U+005D (RIGHT SQUARE BRACKET)   NFKC-ref: 〗
︙	...	U+FE19 (PRESENTATION FORM FOR VERTICAL HORIZONTAL ELLIPSIS) -> U+002E (FULL STOP) U+002E (FULL STOP) U+002E (FULL STOP)
︰	..	U+FE30 (PRESENTATION FORM FOR VERTICAL TWO DOT LEADER) -> U+002E (FULL STOP) U+002E (FULL STOP)
︱	-	U+FE31 (PRESENTATION FORM FOR VERTICAL EM DASH) -> U+002D (HYPHEN-MINUS)   NFKC-ref: —
︲	-	U+FE32 (PRESENTATION FORM FOR VERTICAL EN DASH) -> U+002D (HYPHEN-MINUS)   NFKC-ref: –
︳	_	U+FE33 (PRESENTATION FORM FOR VERTICAL LOW LINE) -> U+005F (LOW LINE)
︴	_	U+FE34 (PRESENTATION FORM FOR VERTICAL WAVY LOW LINE) -> U+005F (LOW LINE)
︵	(	U+FE35 (PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS) -> U+0028 (LEFT PARENTHESIS)
︶	)	U+FE36 (PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS) -> U+0029 (RIGHT PARENTHESIS)
︷	{	U+FE37 (PRESENTATION FORM FOR VERTICAL LEFT CURLY BRACKET) -> U+007B (LEFT CURLY BRACKET)
︸	}	U+FE38 (PRESENTATION FORM FOR VERTICAL RIGHT CURLY BRACKET) -> U+007D (RIGHT CURLY BRACKET)
︹	[	U+FE39 (PRESENTATION FORM FOR VERTICAL LEFT TORTOISE SHELL BRACKET) -> U+005B (LEFT SQUARE BRACKET)   NFKC-ref: 〔
︺	]	U+FE3A (PRESENTATION FORM FOR VERTICAL RIGHT TORTOISE SHELL BRACKET) -> U+005D (RIGHT SQUARE BRACKET)   NFKC-ref: 〕
︻	[	U+FE3B (PRESENTATION FORM FOR VERTICAL LEFT BLACK LENTICULAR BRACKET) -> U+005B (LEFT SQUARE BRACKET)   NFKC-ref: 【
︼	]	U+FE3C (PRESENTATION FORM FOR VERTICAL RIGHT BLACK LENTICULAR BRACKET) -> U+005D (RIGHT SQUARE BRACKET)   NFKC-ref: 】
︽	“	U+FE3D (PRESENTATION FORM FOR VERTICAL LEFT DOUBLE ANGLE BRACKET) -> U+201C (LEFT DOUBLE QUOTATION MARK)   NFKC-ref: 《
︾	”	U+FE3E (PRESENTATION FORM FOR VERTICAL RIGHT DOUBLE ANGLE BRACKET) -> U+201D (RIGHT DOUBLE QUOTATION MARK)   NFKC-ref: 》
︿	<	U+FE3F (PRESENTATION FORM FOR VERTICAL LEFT ANGLE BRACKET) -> U+003C (LESS-THAN SIGN)   NFKC-ref: 〈
﹀	>	U+FE40 (PRESENTATION FORM FOR VERTICAL RIGHT ANGLE BRACKET) -> U+003E (GREATER-THAN SIGN)   NFKC-ref: 〉
﹁	“	U+FE41 (PRESENTATION FORM FOR VERTICAL LEFT CORNER BRACKET) -> U+201C (LEFT DOUBLE QUOTATION MARK)   NFKC-ref: 「
﹂	”	U+FE42 (PRESENTATION FORM FOR VERTICAL RIGHT CORNER BRACKET) -> U+201D (RIGHT DOUBLE QUOTATION MARK)   NFKC-ref: 」
﹃	“	U+FE43 (PRESENTATION FORM FOR VERTICAL LEFT WHITE CORNER BRACKET) -> U+201C (LEFT DOUBLE QUOTATION MARK)   NFKC-ref: 『
﹄	”	U+FE44 (PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET) -> U+201D (RIGHT DOUBLE QUOTATION MARK)   NFKC-ref: 』
﹇	[	U+FE47 (PRESENTATION FORM FOR VERTICAL LEFT SQUARE BRACKET) -> U+005B (LEFT SQUARE BRACKET)
﹈	]	U+FE48 (PRESENTATION FORM FOR VERTICAL RIGHT SQUARE BRACKET) -> U+005D (RIGHT SQUARE BRACKET)
﹐	,	U+FE50 (SMALL COMMA) -> U+002C (COMMA)
